id,biosample,sample,dateCollected,depth,sra,submitter
22786599,SAMN22786599,1034902021_18S_V4,2018-07-18,799,SRS10846798,Leocadio Blanco-Bercial
22786598,SAMN22786598,1034902005_18S_V4,2018-07-21,80.4,SRS10846797,Leocadio Blanco-Bercial
22786597,SAMN22786597,1034902019_18S_V4,2018-07-18,601.6,SRS10846795,Leocadio Blanco-Bercial
22786596,SAMN22786596,1034902017_18S_V4,2018-07-21,501.3,SRS10846794,Leocadio Blanco-Bercial
22786595,SAMN22786595,1034902003_18S_V4,2018-07-21,39.8,SRS10846793,Leocadio Blanco-Bercial
22786594,SAMN22786594,1034902009_18S_V4,2018-07-21,160,SRS10846792,Leocadio Blanco-Bercial
22786593,SAMN22786593,1034902007_18S_V4,2018-07-21,120.1,SRS10846791,Leocadio Blanco-Bercial
22786592,SAMN22786592,1034902023_18S_V4,2018-07-18,1001.1,SRS10846789,Leocadio Blanco-Bercial
22786591,SAMN22786591,1034902001_18S_V4,2018-07-21,3.4,SRS10846787,Leocadio Blanco-Bercial
22786590,SAMN22786590,1034800921_18S_V4,2018-06-13,802.9,SRS10846790,Leocadio Blanco-Bercial
22786589,SAMN22786589,1034800905_18S_V4,2018-06-15,80.3,SRS10846788,Leocadio Blanco-Bercial
22786588,SAMN22786588,1034800903_18S_V4,2018-06-15,40.8,SRS10846786,Leocadio Blanco-Bercial
22786587,SAMN22786587,1034800913_18S_V4,2018-06-15,251.5,SRS10846785,Leocadio Blanco-Bercial
22786586,SAMN22786586,1034800911_18S_V4,2018-06-15,200.7,SRS10846782,Leocadio Blanco-Bercial
22786585,SAMN22786585,1034800909_18S_V4,2018-06-15,159,SRS10846780,Leocadio Blanco-Bercial
22786584,SAMN22786584,1034800907_18S_V4,2018-06-15,120.2,SRS10846781,Leocadio Blanco-Bercial
22786583,SAMN22786583,1034800923_18S_V4,2018-06-13,1001.4,SRS10846779,Leocadio Blanco-Bercial
22786582,SAMN22786582,1034800901_18S_V4,2018-06-15,3.8,SRS10846777,Leocadio Blanco-Bercial
22786581,SAMN22786581,1034701605_18S_V4,2018-05-24,81.4,SRS10846776,Leocadio Blanco-Bercial
22786580,SAMN22786580,1034701603_18S_V4,2018-05-24,40.5,SRS10846778,Leocadio Blanco-Bercial
22786579,SAMN22786579,1034701613_18S_V4,2018-05-24,250.1,SRS10846775,Leocadio Blanco-Bercial
22786578,SAMN22786578,1034701611_18S_V4,2018-05-24,201.1,SRS10846774,Leocadio Blanco-Bercial
22786577,SAMN22786577,1034701609_18S_V4,2018-05-24,159.8,SRS10846773,Leocadio Blanco-Bercial
22786576,SAMN22786576,1034701607_18S_V4,2018-05-24,120.6,SRS10846770,Leocadio Blanco-Bercial
22786575,SAMN22786575,1034701601_18S_V4,2018-05-24,3.2,SRS10846771,Leocadio Blanco-Bercial
22786574,SAMN22786574,1034601221_18S_V4,2018-04-13,798.4,SRS10846769,Leocadio Blanco-Bercial
22786573,SAMN22786573,1034601205_18S_V4,2018-04-14,81.5,SRS10846768,Leocadio Blanco-Bercial
22786572,SAMN22786572,1034601219_18S_V4,2018-04-13,601.2,SRS10846766,Leocadio Blanco-Bercial
22786571,SAMN22786571,1034601217_18S_V4,2018-04-14,499.7,SRS10846767,Leocadio Blanco-Bercial
22786570,SAMN22786570,1034601203_18S_V4,2018-04-14,40.4,SRS10846765,Leocadio Blanco-Bercial
22786569,SAMN22786569,1034601215_18S_V4,2018-04-14,301.5,SRS10847131,Leocadio Blanco-Bercial
22786568,SAMN22786568,1034601213_18S_V4,2018-04-14,251.4,SRS10847130,Leocadio Blanco-Bercial
22786567,SAMN22786567,1034601211_18S_V4,2018-04-14,200.4,SRS10847129,Leocadio Blanco-Bercial
22786566,SAMN22786566,1034601209_18S_V4,2018-04-14,160.6,SRS10847127,Leocadio Blanco-Bercial
22786565,SAMN22786565,1034601207_18S_V4,2018-04-14,120,SRS10847126,Leocadio Blanco-Bercial
22786564,SAMN22786564,1034601223_18S_V4,2018-04-13,998,SRS10847128,Leocadio Blanco-Bercial
22786563,SAMN22786563,1034601201_18S_V4,2018-04-14,4,SRS10847125,Leocadio Blanco-Bercial
22786562,SAMN22786562,1034401321_18S_V4,2018-02-10,801.1,SRS10847124,Leocadio Blanco-Bercial
22786561,SAMN22786561,1034401305_18S_V4,2018-02-11,80.6,SRS10847122,Leocadio Blanco-Bercial
22786560,SAMN22786560,1034401319_18S_V4,2018-02-10,601.3,SRS10847121,Leocadio Blanco-Bercial
22786559,SAMN22786559,1034401317_18S_V4,2018-02-11,500.9,SRS10847119,Leocadio Blanco-Bercial
22786558,SAMN22786558,1034401303_18S_V4,2018-02-11,41.2,SRS10847120,Leocadio Blanco-Bercial
22786557,SAMN22786557,1034401315_18S_V4,2018-02-11,301.2,SRS10847117,Leocadio Blanco-Bercial
